Zeit,Zählerstand (Wh),Leistung (W)
01.01.2019 01:00,35159504,180
01.01.2019 02:00,35159686,181
01.01.2019 03:00,35159867,180
01.01.2019 04:00,35160059,192
01.01.2019 05:00,35160245,185
01.01.2019 06:00,35160443,198
01.01.2019 07:00,35160682,238
01.01.2019 08:00,35160934,251
01.01.2019 09:00,35161171,237
01.01.2019 10:00,35161395,224
01.01.2019 11:00,35161599,204
01.01.2019 12:00,35161782,182
01.01.2019 13:00,35161999,217
01.01.2019 14:00,35162213,213
01.01.2019 15:00,35162412,198
01.01.2019 16:00,35162601,189
01.01.2019 17:00,35162858,256
01.01.2019 18:00,35163180,321
01.01.2019 19:00,35163493,313
01.01.2019 20:00,35164111,617
01.01.2019 21:00,35164743,631
01.01.2019 22:00,35165037,293
01.01.2019 23:00,35165357,319
02.01.2019 00:00,35165574,217
02.01.2019 01:00,35165750,176
02.01.2019 02:00,35165938,187
02.01.2019 03:00,35166124,185
02.01.2019 04:00,35166315,191
02.01.2019 05:00,35166493,177
02.01.2019 06:00,35166683,190
02.01.2019 07:00,35166933,249
02.01.2019 08:00,35167193,259
02.01.2019 09:00,35167438,244
02.01.2019 10:00,35167654,216
02.01.2019 11:00,35167861,206
02.01.2019 12:00,35168074,213
02.01.2019 13:00,35168280,205
02.01.2019 14:00,35168481,200
02.01.2019 15:00,35168689,208
02.01.2019 16:00,35168905,216
02.01.2019 17:00,35169175,269
02.01.2019 18:00,35169483,308
02.01.2019 19:00,35169804,321
02.01.2019 20:00,35170439,635
02.01.2019 21:00,35171076,636
02.01.2019 22:00,35171406,330
02.01.2019 23:00,35171716,309
03.01.2019 00:00,35171941,225
03.01.2019 01:00,35172126,185
03.01.2019 02:00,35172311,185
03.01.2019 03:00,35172511,199
03.01.2019 04:00,35172689,178
03.01.2019 05:00,35172870,180
03.01.2019 06:00,35173068,198
03.01.2019 07:00,35173307,238
03.01.2019 08:00,35173560,253
03.01.2019 09:00,35173796,235
03.01.2019 10:00,35174023,227
03.01.2019 11:00,35174239,215
03.01.2019 12:00,35174451,212
03.01.2019 13:00,35174641,189
03.01.2019 14:00,35174866,225
03.01.2019 15:00,35175077,210
03.01.2019 16:00,35175324,247
03.01.2019 17:00,35176174,850
03.01.2019 18:00,35177044,869
03.01.2019 19:00,35178225,1180
03.01.2019 20:00,35179615,1390
03.01.2019 21:00,35181579,1963
03.01.2019 22:00,35182996,1416
03.01.2019 23:00,35185391,2394
04.01.2019 00:00,35186255,864
04.01.2019 01:00,35186916,660
04.01.2019 02:00,35187573,657
04.01.2019 03:00,35188250,677
04.01.2019 04:00,35188691,441
04.01.2019 05:00,35188959,267
04.01.2019 06:00,35189241,281
04.01.2019 07:00,35189548,307
04.01.2019 08:00,35189887,338
04.01.2019 09:00,35190603,716
04.01.2019 10:00,35191670,1067
04.01.2019 11:00,35192986,1316
04.01.2019 12:00,35193791,804
04.01.2019 13:00,35194504,712
04.01.2019 14:00,35194842,338
04.01.2019 15:00,35195225,383
04.01.2019 16:00,35195545,319
04.01.2019 17:00,35198268,2723
04.01.2019 18:00,35201083,2814
04.01.2019 19:00,35202667,1584
04.01.2019 20:00,35203687,1020
04.01.2019 21:00,35204851,1163
04.01.2019 22:00,35205538,687
04.01.2019 23:00,35206232,693
05.01.2019 00:00,35207017,784
05.01.2019 01:00,35207881,864
05.01.2019 02:00,35208455,573
05.01.2019 03:00,35208738,282
05.01.2019 04:00,35208999,261
05.01.2019 05:00,35209283,283
05.01.2019 06:00,35209566,283
05.01.2019 07:00,35209875,308
05.01.2019 08:00,35210172,296
05.01.2019 09:00,35210458,286
05.01.2019 10:00,35211123,665
05.01.2019 11:00,35212110,986
05.01.2019 12:00,35213027,916
05.01.2019 13:00,35214151,1124
05.01.2019 14:00,35214929,777
05.01.2019 15:00,35216345,1416
